,volatile acidity,total sulfur dioxide,fixed acidity,pH,quality
0,0.7,34.0,7.4,3.51,5
1,0.88,67.0,7.8,3.2,5
2,0.76,54.0,7.8,3.26,5
3,0.28,60.0,11.2,3.16,6
4,0.7,34.0,7.4,3.51,5
5,0.66,40.0,7.4,3.51,5
6,0.6,59.0,7.9,3.3,5
7,0.65,21.0,7.3,3.39,7
8,0.58,18.0,7.8,3.36,7
9,0.5,102.0,7.5,3.35,5
10,0.58,65.0,6.7,3.28,5
11,0.5,102.0,7.5,3.35,5
12,0.615,59.0,5.6,3.58,5
13,0.61,29.0,7.8,3.26,5
14,0.62,145.0,8.9,3.16,5
15,0.62,148.0,8.9,3.17,5
16,0.28,103.0,8.5,3.3,7
17,0.56,56.0,8.1,3.11,5
18,0.59,29.0,7.4,3.38,4
19,0.32,56.0,7.9,3.04,6
20,0.22,60.0,8.9,3.39,6
21,0.39,71.0,7.6,3.52,5
22,0.43,37.0,7.9,3.17,5
23,0.49,67.0,8.5,3.17,5
24,0.4,40.0,6.9,3.43,6
25,0.39,23.0,6.3,3.34,5
26,0.41,11.0,7.6,3.28,5
27,0.43,37.0,7.9,3.17,5
28,0.71,35.0,7.1,3.47,5
29,0.645,16.0,7.8,3.38,6
30,0.675,82.0,6.7,3.35,5
31,0.685,37.0,6.9,3.46,6
32,0.655,113.0,8.3,3.17,5
33,0.605,83.0,6.9,3.45,6
34,0.32,50.0,5.2,3.38,5
35,0.645,18.0,7.8,3.4,6
36,0.6,15.0,7.8,3.42,6
37,0.38,30.0,8.1,3.23,7
38,1.13,19.0,5.7,3.5,4
39,0.45,87.0,7.3,3.33,5
40,0.45,87.0,7.3,3.33,5
41,0.61,46.0,8.8,3.26,4
42,0.49,14.0,7.5,3.21,6
43,0.66,23.0,8.1,3.3,5
44,0.67,11.0,6.8,3.48,5
45,0.52,65.0,4.6,3.9,4
46,0.935,114.0,7.7,3.25,5
47,0.29,37.0,8.7,3.25,5
48,0.4,12.0,6.4,3.34,5
49,0.31,96.0,5.6,3.32,5
50,0.66,23.0,8.8,3.15,5
51,0.52,15.0,6.6,3.4,6
52,0.5,14.0,6.6,3.39,6
53,0.38,119.0,8.6,3.2,5
54,0.51,73.0,7.6,3.17,6
55,0.62,45.0,7.7,3.34,5
56,0.42,10.0,10.2,3.04,5
57,0.63,110.0,7.5,3.26,5
58,0.59,54.0,7.8,3.43,5
59,0.39,46.0,7.3,3.41,6
60,0.4,52.0,8.8,3.44,5
61,0.69,112.0,7.7,3.21,5
62,0.52,35.0,7.5,3.38,7
63,0.735,54.0,7.0,3.39,5
64,0.725,11.0,7.2,3.41,5
65,0.725,11.0,7.2,3.41,5
66,0.52,39.0,7.5,3.42,5
67,0.705,15.0,6.6,3.44,5
68,0.32,65.0,9.3,3.28,5
69,0.705,19.0,8.0,3.34,6
70,0.63,27.0,7.7,3.32,6
71,0.67,96.0,7.7,3.32,5
72,0.69,94.0,7.7,3.31,5
73,0.675,43.0,8.3,3.31,4
74,0.32,83.0,9.7,3.28,5
75,0.41,42.0,8.8,3.54,5
76,0.41,42.0,8.8,3.54,5
77,0.785,30.0,6.8,3.52,6
78,0.75,80.0,6.7,3.38,5
79,0.625,119.0,8.3,3.16,4
80,0.45,15.0,6.2,3.41,5
81,0.43,67.0,7.8,3.13,5
82,0.5,73.0,7.4,3.36,5
83,0.67,51.0,7.3,3.16,5
84,0.3,61.0,6.3,3.44,6
85,0.55,40.0,6.9,3.41,5
86,0.49,136.0,8.6,2.93,6
87,0.49,31.0,7.7,3.39,5
88,0.39,125.0,9.3,3.14,5
89,0.62,24.0,7.0,3.48,5
90,0.52,140.0,7.9,3.23,5
91,0.49,136.0,8.6,2.93,6
92,0.49,133.0,8.6,2.93,5
93,0.49,31.0,7.7,3.39,5
94,1.02,85.0,5.0,3.75,4
95,0.6,106.0,4.7,3.85,6
96,0.775,23.0,6.8,3.45,5
97,0.5,22.0,7.0,3.25,5
98,0.9,10.0,7.6,3.39,5
99,0.545,35.0,8.1,3.3,6
100,0.61,50.0,8.3,3.4,6
101,0.5,22.0,7.8,3.31,6
102,0.545,35.0,8.1,3.3,6
103,0.575,65.0,8.1,3.29,5
104,0.49,36.0,7.2,3.33,5
105,0.575,65.0,8.1,3.29,5
106,0.41,69.0,7.8,3.08,5
107,0.63,64.0,6.2,3.46,5
108,0.33,80.0,8.0,3.37,6
109,0.785,153.0,8.1,3.21,5
110,0.56,47.0,7.8,3.19,5
111,0.62,108.0,8.4,3.15,5
112,0.6,111.0,8.4,3.15,5
113,0.31,46.0,10.1,3.32,6
114,0.56,47.0,7.8,3.19,5
115,0.4,62.0,9.4,3.07,6
116,0.54,40.0,8.3,3.39,6
117,0.56,28.0,7.8,3.37,6
118,0.55,56.0,8.8,3.21,6
119,0.69,89.0,7.0,3.34,6
120,1.07,89.0,7.3,3.3,5
121,0.55,56.0,8.8,3.21,6
122,0.695,13.0,7.3,3.49,5
123,0.71,34.0,8.0,3.44,5
124,0.5,102.0,7.8,3.39,5
125,0.62,90.0,9.0,3.16,5
126,1.33,12.0,8.2,3.53,5
127,1.33,12.0,8.1,3.54,5
128,0.59,16.0,8.0,3.42,7
129,0.38,19.0,6.1,3.42,5
130,0.745,134.0,8.0,3.24,5
131,0.5,99.0,5.6,3.63,5
132,0.5,99.0,5.6,3.63,5
133,0.5,26.0,6.6,3.4,6
134,1.04,29.0,7.9,3.22,6
135,0.745,63.0,8.4,3.19,5
136,0.715,52.0,8.3,3.23,5
137,0.415,45.0,7.2,3.48,5
138,0.56,105.0,7.8,3.33,5
139,0.56,108.0,7.8,3.32,5
140,0.745,63.0,8.4,3.19,5
141,0.715,52.0,8.3,3.23,5
142,0.34,63.0,5.2,3.68,6
143,0.39,20.0,6.3,3.34,5
144,0.34,63.0,5.2,3.68,6
